Sample:	'blank
File name:	blank_02-02.UDS
Run Date:	12:45:24, 02/02/2026
Operator:	Lab
Comment:	'

Instrument
Model:	U-3010 Spectrophotometer
Serial Number:	'
ROM Version:	2520 10

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	700.00 nm
Ending Wavelength:	450.00 nm
Scan Speed:	600 nm/min
Sampling Interval:	1.00 nm
Slit Width:	1 nm
PMT Voltage:	Auto
Lamp change mode:	Auto
Auto change wavelength:	340.00 nm
Baseline Correction:	User 1
High Resolution:	Off
Path Length:	10.0 mm
(Abs values are corrected to 10 mm path length)

Peak Integration
Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (nm)	Apex (nm)	End (nm)	Height (Abs)	Area (Abs*nm)	Valley (nm)	Valley (Abs)

Data Points
nm	Abs
700.00	-0.000293
698.00	-0.000866
696.00	-0.001005
694.00	0.000177
692.00	0.001452
690.00	0.001279
688.00	0.000395
686.00	-0.000269
684.00	0.000204
682.00	0.000196
680.00	-0.000192
678.00	-0.000399
676.00	-0.000570
674.00	0.000403
672.00	0.000293
670.00	0.000464
668.00	-0.000041
666.00	0.000092
664.00	0.001111
662.00	0.001029
660.00	0.000813
658.00	0.000131
656.00	0.000312
654.00	0.000498
652.00	0.000515
650.00	0.000105
648.00	-0.000199
646.00	-0.000897
644.00	-0.001364
642.00	-0.001745
640.00	-0.001430
638.00	-0.000822
636.00	-0.000850
634.00	-0.000687
632.00	-0.001404
630.00	-0.001647
628.00	-0.002103
626.00	-0.001721
624.00	-0.001110
622.00	-0.001330
620.00	-0.001777
618.00	-0.001800
616.00	-0.001490
614.00	-0.001358
612.00	-0.001423
610.00	-0.001688
608.00	-0.001786
606.00	-0.001922
604.00	-0.001872
602.00	-0.001382
600.00	-0.001547
598.00	-0.002300
596.00	-0.002396
594.00	-0.002472
592.00	-0.002015
590.00	-0.001330
588.00	-0.000815
586.00	-0.000749
584.00	-0.001515
582.00	-0.001362
580.00	-0.001193
578.00	-0.001219
576.00	-0.001680
574.00	-0.001511
572.00	-0.001650
570.00	-0.001832
568.00	-0.001744
566.00	-0.001840
564.00	-0.001950
562.00	-0.002207
560.00	-0.001474
558.00	-0.001035
556.00	-0.001438
554.00	-0.001930
552.00	-0.001576
550.00	-0.000883
548.00	-0.000722
546.00	-0.001030
544.00	-0.001508
542.00	-0.001041
540.00	-0.000735
538.00	-0.000480
536.00	0.000017
534.00	0.000678
532.00	0.000987
530.00	0.000022
528.00	-0.000589
526.00	-0.000890
524.00	-0.001039
522.00	-0.001315
520.00	-0.001537
518.00	-0.001447
516.00	-0.001387
514.00	-0.000979
512.00	-0.001056
510.00	-0.001679
508.00	-0.001676
506.00	-0.001680
504.00	-0.001509
502.00	-0.001483
500.00	-0.001438
498.00	-0.000625
496.00	-0.000464
494.00	0.000161
492.00	0.000334
490.00	0.000270
488.00	0.000490
486.00	0.000380
484.00	0.000278
482.00	-0.000113
480.00	-0.000625
478.00	-0.000435
476.00	-0.000360
474.00	-0.000303
472.00	-0.000468
470.00	-0.000852
468.00	-0.000866
466.00	-0.000869
464.00	-0.000200
462.00	0.000116
460.00	-0.000113
458.00	-0.000613
456.00	-0.000726
454.00	-0.000431
452.00	-0.000470
450.00	-0.000748


